EmployeeKey,ParentEmployeeKey,FirstName,LastName,MiddleName,Title,HireDate,BirthDate,EmailAddress,Phone,MaritalStatus,EmergencyContactName,EmergencyContactPhone,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,CurrentFlag,SalesPersonFlag,DepartmentName,StartDate,EndDate,Status,ETLLoadID,LoadDate,UpdateDate
47,6,Vivian,Atlas,NULL,Sales Store Manager,13-01-1999,27-07-1979,fred0@contoso.com,818-555-0192,S,Kai Axford,818-555-0192,0,M,1,25,40,1,0,Production,13-01-1999,,Current,19990113,1/13/1999,1/13/1999
48,6,Robin,Wakefield,NULL,Sales Store Manager,13-01-1999,21-06-1977,sariya0@contoso.com,399-555-0176,S,Darren Waite,399-555-0176,0,M,2,25,40,1,0,Marketing,13-01-1999,,Current,19990113,1/13/1999,1/13/1999
49,6,Anahita,Bahrami,NULL,Sales Store Manager,14-01-1999,18-08-1968,willis0@contoso.com,778-555-0141,S,Josh Bailey,778-555-0141,0,M,2,25,40,1,0,Human Resources,14-01-1999,,Current,19990114,1/14/1999,1/14/1999
50,6,Pieter,Wycoff,NULL,Sales Store Manager,15-01-1999,06-08-1969,jun0@contoso.com,299-555-0113,S,David Wright,299-555-0113,0,M,1,25,40,1,0,Production,15-01-1999,,Current,19990115,1/15/1999,1/15/1999
51,6,Dev,Balasubramanian,NULL,Sales Store Manager,15-01-1999,18-02-1966,christian0@contoso.com,846-555-0157,M,Yossi Banai,846-555-0157,1,M,2,25,40,1,0,Facilities and Maintenance,15-01-1999,,Current,19990115,1/15/1999,1/15/1999
52,6,Steven,Wright,M.,Sales Store Manager,15-01-1999,03-05-1973,susan1@contoso.com,639-555-0164,S,Makoto Yamagishi,639-555-0164,0,F,1,25,40,1,0,Production,15-01-1999,,Current,19990115,1/15/1999,1/15/1999
54,6,Eiji,Yasuda,NULL,Sales Store Manager,16-01-1999,10-03-1975,kirk0@contoso.com,669-555-0150,S,Arthur Yasinski,669-555-0150,0,M,1,25,40,1,0,Production,16-01-1999,,Current,19990116,1/16/1999,1/16/1999
55,6,Ed,Banti,NULL,Sales Store Manager,16-01-1999,30-01-1975,david2@contoso.com,712-555-0119,M,Evan Basalik,712-555-0119,0,M,1,25,33,1,0,Production,16-01-1999,,Current,19990116,1/16/1999,1/16/1999
56,6,Mrina,Natarajan,NULL,Sales Store Manager,17-01-1999,29-05-1980,tengiz0@contoso.com,910-555-0116,S,Kirk J. Nason,910-555-0116,0,M,2,25,76,1,0,Document Control,17-01-1999,,Current,19990117,1/17/1999,1/17/1999
57,6,Dave,Barnett,NULL,Sales Store Manager,17-01-1999,16-11-1964,hanying0@contoso.com,319-555-0139,S,Josh Barnhill,319-555-0139,0,M,1,25,15,1,0,Production,17-01-1999,,Current,19990117,1/17/1999,1/17/1999
58,6,Manuel,Oliveira,NULL,Sales Store Manager,18-01-1999,26-01-1976,kevin1@contoso.com,714-555-0138,S,Neil Orint,714-555-0138,0,M,1,25,58,1,0,Production,18-01-1999,,Current,19990118,1/18/1999,1/18/1999
59,6,Adam,Barr,NULL,Sales Store Manager,18-01-1999,27-01-1967,annik0@contoso.com,499-555-0125,M,Chris Barry,499-555-0125,0,M,1,25,17,1,0,Production,18-01-1999,,Current,19990118,1/18/1999,1/18/1999
60,7,Rok,Palcic,NULL,Sales Store Manager,18-01-1999,28-03-1968,suroor0@contoso.com,932-555-0161,S,Ian Palangio,932-555-0161,0,M,1,25,93,1,0,Production,18-01-1999,,Current,19990118,1/18/1999,1/18/1999
61,7,Shai,Bassli,NULL,Sales Store Manager,19-01-1999,07-04-1966,deborah0@contoso.com,602-555-0194,M,Deborah Baumfeld,602-555-0194,0,F,2,25,60,1,0,Finance,19-01-1999,,Current,19990119,1/19/1999,1/19/1999
62,7,Yossi,Ran,NULL,Sales Store Manager,20-01-1999,09-10-1976,jim0@contoso.com,679-555-0113,M,Rajesh Ramanathan,679-555-0113,0,M,1,25,1,1,0,Production,20-01-1999,,Current,19990120,1/20/1999,1/20/1999
63,7,Shaun,Beasley,NULL,Sales Store Manager,20-01-1999,19-11-1973,carole0@contoso.com,688-555-0192,M,Mark Bebbington,688-555-0192,0,F,1,25,42,1,0,Production,20-01-1999,,Current,19990120,1/20/1999,1/20/1999
64,7,Karolina,Salas-Szlejter,NULL,Sales Store Manager,22-01-1999,18-05-1967,george0@contoso.com,518-555-0199,M,Tamer Salah,518-555-0199,0,M,1,25,26,1,0,Production,22-01-1999,,Current,19990122,1/22/1999,1/22/1999
65,7,Anna,Bedecs,NULL,Sales Store Manager,23-01-1999,17-06-1978,gary0@contoso.com,901-555-0125,S,Parry Bedi,901-555-0125,0,M,1,25,69,1,0,Production,23-01-1999,,Current,19990123,1/23/1999,1/23/1999
66,7,Oliver,Szimmetat,NULL,Sales Store Manager,23-01-1999,13-05-1974,cristian0@contoso.com,434-555-0133,M,Radoslaw Szymczak,434-555-0133,0,M,2,25,67,1,0,Production,23-01-1999,,Current,19990123,1/23/1999,1/23/1999
67,7,Ann,Beebe,NULL,Sales Store Manager,24-01-1999,02-04-1957,raymond0@contoso.com,226-555-0197,M,Kostadin Belishky,226-555-0197,0,M,1,25,10,1,0,Production,24-01-1999,,Current,19990124,1/24/1999,1/24/1999
68,7,Jeff,Teper,NULL,Sales Store Manager,24-01-1999,03-03-1975,janaina0@contoso.com,623-555-0155,M,Rakesh Tangirala,623-555-0155,1,F,2,25,71,1,0,Information Services,24-01-1999,,Current,19990124,1/24/1999,1/24/1999
69,7,Allie,Bellew,NULL,Sales Store Manager,25-01-1999,16-09-1969,bob0@contoso.com,611-555-0116,S,Almudena Benito,611-555-0116,0,M,1,25,12,1,0,Production,25-01-1999,,Current,19990125,1/25/1999,1/25/1999
70,7,Siri,Velauthapillai,NULL,Sales Store Manager,25-01-1999,05-11-1970,shammi0@contoso.com,793-555-0179,M,Garrett Vargas,793-555-0179,0,M,1,25,66,1,0,Production,25-01-1999,,Current,19990125,1/25/1999,1/25/1999
71,7,Nuno,Bento,NULL,Sales Store Manager,26-01-1999,17-08-1977,linda0@contoso.com,612-555-0171,M,Karen Berg,612-555-0171,0,F,1,25,96,1,0,Production,26-01-1999,,Current,19990126,1/26/1999,1/26/1999
72,7,Anne,Wallace,NULL,Sales Store Manager,26-01-1999,22-12-1974,mindy0@contoso.com,522-555-0147,M,Larry Waldman,522-555-0147,0,F,2,25,51,1,0,Human Resources,26-01-1999,,Current,19990126,1/26/1999,1/26/1999
73,7,Matt,Berg,NULL,Sales Store Manager,26-01-1999,12-11-1974,wendy0@contoso.com,248-555-0134,S,Martin Berka,248-555-0134,1,F,2,25,55,1,0,Finance,26-01-1999,,Current,19990126,1/26/1999,1/26/1999
74,7,John,Yokim,NULL,Sales Store Manager,27-01-1999,01-06-1974,kim0@contoso.com,309-555-0129,S,Norimichi Yonekura,309-555-0129,0,F,1,25,98,1,0,Shipping and Receiving,27-01-1999,,Current,19990127,1/27/1999,1/27/1999
75,7,Antonio,Bermejo,NULL,Sales Store Manager,27-01-1999,06-12-1965,sandra0@contoso.com,896-555-0168,M,Matthias Berndt,896-555-0168,0,F,1,25,37,1,0,Production,27-01-1999,,Current,19990127,1/27/1999,1/27/1999
76,7,Robert,Zare,NULL,Sales Store Manager,28-01-1999,30-05-1970,kok-ho0@contoso.com,999-555-0155,S,Amr Zaki,999-555-0155,0,M,2,25,78,1,0,Production,28-01-1999,,Current,19990128,1/28/1999,1/28/1999
77,8,Michael,Berroth,NULL,Sales Store Manager,28-01-1999,26-12-1975,douglas0@contoso.com,808-555-0172,M,Dana Birkby,808-555-0172,0,M,1,25,80,1,0,Production,28-01-1999,,Current,19990128,1/28/1999,1/28/1999
79,8,Jimmy,Bischoff,NULL,Sales Store Manager,29-01-1999,07-04-1966,sean0@contoso.com,420-555-0173,S,Scott Bishop,420-555-0173,0,M,2,25,82,1,0,Quality Assurance,29-01-1999,,Current,19990129,1/29/1999,1/29/1999
80,8,Michael,Neipper,NULL,Sales Store Manager,29-01-1999,01-01-1977,nitin0@contoso.com,143-555-0173,S,Jeremy Nelson,143-555-0173,0,M,1,25,21,1,0,Production,29-01-1999,,Current,19990129,1/29/1999,1/29/1999
81,8,Ari,Bixhorn,NULL,Sales Store Manager,30-01-1999,06-07-1976,diane1@contoso.com,815-555-0138,S,Neil Black,815-555-0138,1,F,2,25,62,1,0,Research and Development,30-01-1999,,Current,19990130,1/30/1999,1/30/1999
82,8,Paulo,Neves,NULL,Sales Store Manager,30-01-1999,11-08-1967,rebecca0@contoso.com,314-555-0113,M,Belinda Newman,314-555-0113,0,F,1,25,23,1,0,Production,30-01-1999,,Current,19990130,1/30/1999,1/30/1999
83,8,Rex,Bloesser,NULL,Sales Store Manager,01-02-1999,05-11-1967,rajesh0@contoso.com,373-555-0137,M,Nikhil Bobde,373-555-0137,0,M,1,25,48,1,0,Production,01-02-1999,,Current,19990201,2/1/1999,2/1/1999
84,8,Aaron,Nicholls,NULL,Sales Store Manager,02-02-1999,02-09-1974,vidur0@contoso.com,153-555-0186,S,Chad Niswonger,153-555-0186,0,M,2,25,50,1,0,Human Resources,02-02-1999,,Current,19990202,2/2/1999,2/2/1999
85,8,Tomasz,Bochenek,NULL,Sales Store Manager,02-02-1999,01-07-1968,john1@contoso.com,172-555-0130,S,Catherine Boeger,172-555-0130,0,M,1,25,91,1,0,Production,02-02-1999,,Current,19990202,2/2/1999,2/2/1999
86,8,Toby,Nixon,NULL,Sales Store Manager,03-02-1999,21-12-1978,nancy0@contoso.com,970-555-0118,M,Elly Nkya,970-555-0118,0,F,1,25,34,1,0,Production,03-02-1999,,Current,19990203,2/3/1999,2/3/1999
87,8,Corinna,Bolender,NULL,Sales Store Manager,03-02-1999,11-10-1962,pilar0@contoso.com,577-555-0185,S,Srikanth Bolisetty,577-555-0185,1,M,2,25,93,1,0,Shipping and Receiving,03-02-1999,,Current,19990203,2/3/1999,2/3/1999
88,8,Fabricio,Noriega,NULL,Sales Store Manager,03-02-1999,04-09-1971,david3@contoso.com,373-555-0142,S,Chris Norred,373-555-0142,0,M,1,25,32,1,0,Production,03-02-1999,,Current,19990203,2/3/1999,2/3/1999
89,8,Raffaella,Bonaldi,NULL,Sales Store Manager,04-02-1999,02-08-1973,david4@contoso.com,986-555-0177,S,Luis Bonifaz,986-555-0177,0,M,2,25,73,1,0,Production,04-02-1999,,Current,19990204,2/4/1999,2/4/1999
90,8,Jerry,Orman,NULL,Sales Store Manager,04-02-1999,26-01-1971,laura0@contoso.com,777-555-0141,S,Tad Orman,777-555-0141,0,F,1,25,75,1,0,Production,04-02-1999,,Current,19990204,2/4/1999,2/4/1999
91,8,Laurent,Bonnet,NULL,Sales Store Manager,05-02-1999,20-06-1976,margie0@contoso.com,818-555-0128,M,Randall Boseman,818-555-0128,0,F,1,25,18,1,0,Production,05-02-1999,,Current,19990205,2/5/1999,2/5/1999
92,8,Danni,Ortman,NULL,Sales Store Manager,05-02-1999,02-03-1966,zainal0@contoso.com,204-555-0115,M,Jon Orton,204-555-0115,0,M,2,25,77,1,0,Document Control,05-02-1999,,Current,19990205,2/5/1999,2/5/1999
93,8,Thomas,Bouchard,NULL,Sales Store Manager,05-02-1999,28-12-1978,lorraine0@contoso.com,845-555-0184,M,Eli Bowen,845-555-0184,0,F,1,25,49,1,0,Production,05-02-1999,,Current,19990205,2/5/1999,2/5/1999
94,8,Scott,Oveson,NULL,Sales Store Manager,05-02-1999,19-03-1979,fadi0@contoso.com,935-555-0116,S,Inna Ozhogina,935-555-0116,0,M,1,25,16,1,0,Production,05-02-1999,,Current,19990205,2/5/1999,2/5/1999
95,8,Marc,Boyer,NULL,Sales Store Manager,06-02-1999,15-07-1962,ryan0@contoso.com,208-555-0114,M,Jonas Brandel,208-555-0114,0,M,1,25,59,1,0,Production,06-02-1999,,Current,19990206,2/6/1999,2/6/1999
96,8,Tude,Palma,NULL,Sales Store Manager,07-02-1999,26-03-1966,candy0@contoso.com,920-555-0177,S,Prakash Paramasivam,920-555-0177,0,F,2,25,61,1,0,Finance,07-02-1999,,Current,19990207,2/7/1999,2/7/1999
97,8,Peter,Bankov,NULL,Sales Store Manager,07-02-1999,29-04-1969,nuan0@contoso.com,913-555-0184,S,Dushyant Bansal,913-555-0184,0,M,1,25,2,1,0,Production,07-02-1999,,Current,19990207,2/7/1999,2/7/1999
98,8,Dan,Park,NULL,Sales Store Manager,08-02-1999,08-12-1971,DanPark@contoso.com,148-555-0145,M,Darren Parker,148-555-0145,0,M,2,25,45,1,0,Production Control,08-02-1999,01-10-2001,NULL,20011001,2/8/1999,10/1/2001
99,8,Bryan,Bredehoeft,NULL,Sales Store Manager,08-02-1999,08-12-1971,BryanB@contoso.com,148-555-0145,M,Peter Brehm,148-555-0145,0,M,2,25,45,1,0,Production Control,02-10-2001,,Current,20011002,10/2/2001,10/2/2001
100,8,Rajesh,Patel,M.,Sales Store Manager,08-02-1999,08-12-1979,bjorn0@contoso.com,199-555-0117,S,Sanjay Patel,199-555-0117,0,M,1,25,43,1,0,Production,08-02-1999,,Current,19990208,2/8/1999,2/8/1999
101,8,Alan,Brewer,NULL,Sales Store Manager,09-02-1999,13-03-1977,scott0@contoso.com,391-555-0138,M,Markus Breyer,391-555-0138,0,M,1,25,86,1,0,Production,09-02-1999,,Current,19990209,2/9/1999,2/9/1999
102,8,Dorena,Paschke,NULL,Sales Store Manager,11-02-1999,04-02-1981,michael1@contoso.com,454-555-0119,S,Michael Patten,454-555-0119,0,M,1,25,70,1,0,Production,11-02-1999,,Current,19990211,2/11/1999,2/11/1999
103,8,Nick,Brigandi,NULL,Sales Store Manager,12-02-1999,24-10-1964,lane0@contoso.com,200-555-0117,M,David Bristol,200-555-0117,0,M,1,25,11,1,0,Production,12-02-1999,,Current,19990212,2/12/1999,2/12/1999
104,8,Leonids,Paturskis,NULL,Sales Store Manager,12-02-1999,07-03-1967,pete0@contoso.com,768-555-0123,S,Flemming Pedersen,768-555-0123,0,M,1,25,13,1,0,Production,12-02-1999,,Current,19990212,2/12/1999,2/12/1999
105,8,Allison,Brown,NULL,Sales Store Manager,12-02-1999,28-07-1971,dan0@contoso.com,166-555-0159,M,Jed Brown,166-555-0159,1,M,2,25,72,1,0,Information Services,12-02-1999,,Current,19990212,2/12/1999,2/12/1999
106,8,Yael,Peled,NULL,Sales Store Manager,13-02-1999,23-07-1954,david5@contoso.com,477-555-0132,S,Laurent Penisson,477-555-0132,0,M,2,25,56,1,0,Finance,13-02-1999,,Current,19990213,2/13/1999,2/13/1999
107,8,Robert,Brown,NULL,Sales Store Manager,13-02-1999,25-02-1963,lolan0@contoso.com,582-555-0178,M,Scott Brown,582-555-0178,0,M,1,25,7,1,0,Production,13-02-1999,,Current,19990213,2/13/1999,2/13/1999
108,8,Lori,Penor,NULL,Sales Store Manager,13-02-1999,13-03-1977,paula1@contoso.com,476-555-0119,M,Lionel Penuchot,476-555-0119,0,F,1,25,54,1,0,Production,13-02-1999,,Current,19990213,2/13/1999,2/13/1999
109,8,Daniel,Brunner,NULL,Sales Store Manager,13-02-1999,14-10-1952,mary0@contoso.com,531-555-0183,M,Chloe Brussard,531-555-0183,0,F,2,25,46,1,0,Marketing,13-02-1999,,Current,19990213,2/13/1999,2/13/1999
110,9,Michel,Pereira,NULL,Sales Store Manager,14-02-1999,07-06-1968,mindaugas0@contoso.com,637-555-0120,M,Tom Perham,637-555-0120,0,M,1,25,97,1,0,Production,14-02-1999,,Current,19990214,2/14/1999,2/14/1999
111,9,Chris,Bryant,NULL,Sales Store Manager,15-02-1999,20-02-1975,eric0@contoso.com,260-555-0119,M,Susan Burk,260-555-0119,0,M,2,25,40,1,0,Production,15-02-1999,,Current,19990215,2/15/1999,2/15/1999
112,9,Wirote,Petchdenlarp,NULL,Sales Store Manager,15-02-1999,02-03-1959,ken0@contoso.com,697-555-0142,S,Cristian Petculescu,697-555-0142,1,M,2,25,99,1,0,Executive,15-02-1999,,Current,19990215,2/15/1999,2/15/1999
